date,qqq_close,tqqq_close,sma100,sma200,position,shares,cash,portfolio_value,portfolio_return_pct,daily_return_pct,drawdown_pct,trade_executed
2023-06-09,348.32,17.68,307.73,291.16,1,34504.8751,0.0,610103.46,6001.03%,1.22%,-0.76%,0
2023-06-12,354.21,18.58,308.54,291.39,1,34504.8751,0.0,641258.46,6312.58%,5.11%,0.00%,0
2023-06-13,356.93,19.0,309.41,291.61,1,34504.8751,0.0,655586.37,6455.86%,2.23%,0.00%,0
2023-06-14,359.52,19.41,310.23,291.91,1,34504.8751,0.0,669581.01,6595.81%,2.13%,0.00%,0
2023-06-15,363.81,20.09,311.04,292.24,1,34504.8751,0.0,693072.24,6830.72%,3.51%,0.00%,0
2023-06-16,361.52,19.7,311.82,292.57,1,34504.8751,0.0,679743.89,6697.44%,-1.92%,-1.92%,0
2023-06-20,361.0,19.6,312.61,292.92,1,34504.8751,0.0,676411.79,6664.12%,-0.49%,-2.40%,0
2023-06-21,356.08,18.82,313.29,293.24,1,34504.8751,0.0,649303.29,6393.03%,-4.01%,-6.32%,0
2023-06-22,360.28,19.44,313.99,293.6,1,34504.8751,0.0,670863.05,6608.63%,3.32%,-3.20%,0
2023-06-23,356.71,18.87,314.71,293.95,1,34504.8751,0.0,650974.61,6409.75%,-2.96%,-6.07%,0
2023-06-26,351.93,18.12,315.34,294.25,1,34504.8751,0.0,625236.39,6152.36%,-3.95%,-9.79%,0
2023-06-27,357.98,19.02,315.97,294.57,1,34504.8751,0.0,656155.66,6461.56%,4.95%,-5.33%,0
2023-06-28,358.68,19.13,316.49,294.86,1,34504.8751,0.0,660166.88,6501.67%,0.61%,-4.75%,0
2023-06-29,357.96,19.0,317.07,295.13,1,34504.8751,0.0,655654.16,6456.54%,-0.68%,-5.40%,0
2023-06-30,363.48,19.86,317.73,295.52,1,34504.8751,0.0,685236.24,6752.36%,4.51%,-1.13%,0
2023-07-03,364.34,19.99,318.33,295.89,1,34504.8751,0.0,689916.12,6799.16%,0.68%,-0.46%,0
2023-07-05,364.33,19.98,318.99,296.29,1,34504.8751,0.0,689414.69,6794.15%,-0.07%,-0.53%,0
2023-07-06,361.55,19.51,319.64,296.69,1,34504.8751,0.0,673202.95,6632.03%,-2.35%,-2.87%,0
2023-07-07,360.35,19.31,320.31,297.06,1,34504.8751,0.0,666350.59,6563.51%,-1.02%,-3.86%,0
2023-07-10,360.47,19.33,320.92,297.45,1,34504.8751,0.0,666851.95,6568.52%,0.08%,-3.78%,0
2023-07-11,362.25,19.6,321.54,297.88,1,34504.8751,0.0,676378.55,6663.79%,1.43%,-2.41%,0
2023-07-12,366.82,20.33,322.17,298.34,1,34504.8751,0.0,701448.04,6914.48%,3.71%,0.00%,0
2023-07-13,373.05,21.34,322.93,298.86,1,34504.8751,0.0,736378.4,7263.78%,4.98%,0.00%,0
2023-07-14,372.97,21.32,323.7,299.38,1,34504.8751,0.0,735710.0,7257.10%,-0.09%,-0.09%,0
2023-07-17,376.46,21.91,324.58,299.92,1,34504.8751,0.0,756099.87,7461.00%,2.77%,0.00%,0
2023-07-18,379.54,22.44,325.49,300.45,1,34504.8751,0.0,774149.83,7641.50%,2.39%,0.00%,0
2023-07-19,379.45,22.44,326.37,301.01,1,34504.8751,0.0,774149.83,7641.50%,0.00%,0.00%,0
2023-07-20,370.7,20.86,327.22,301.56,1,34504.8751,0.0,719832.53,7098.33%,-7.02%,-7.02%,0
2023-07-21,369.59,20.68,328.03,302.07,1,34504.8751,0.0,713481.46,7034.81%,-0.88%,-7.84%,0
2023-07-24,370.18,20.76,328.85,302.54,1,34504.8751,0.0,716322.79,7063.23%,0.40%,-7.47%,0
2023-07-25,372.69,21.18,329.72,303.02,1,34504.8751,0.0,730695.99,7206.96%,2.01%,-5.61%,0
