date,qqq_close,sma100,sma190,buy_signal,sell_signal,target_position
2011-04-13,56.85,55.98,52.34,1,0,1
2011-04-14,56.75,56.02,52.4,1,0,1
2011-04-15,56.65,56.06,52.47,1,0,1
2011-04-18,56.25,56.1,52.53,1,0,1
2011-04-19,56.6,56.13,52.59,1,0,1
2011-04-20,57.88,56.18,52.66,1,0,1
2011-04-21,58.34,56.24,52.72,1,0,1
2011-04-25,58.49,56.3,52.79,1,0,1
2011-04-26,58.82,56.36,52.85,1,0,1
2011-04-27,59.22,56.42,52.92,1,0,1
2011-04-28,59.13,56.47,52.99,1,0,1
2011-04-29,59.08,56.52,53.06,1,0,1
2011-05-02,58.97,56.57,53.13,1,0,1
2011-05-03,58.69,56.62,53.19,1,0,1
2011-05-04,58.6,56.66,53.26,1,0,1
2011-05-05,58.28,56.7,53.32,1,0,1
2011-05-06,58.47,56.74,53.38,1,0,1
2011-05-09,58.69,56.79,53.44,1,0,1
2011-05-10,59.19,56.84,53.5,1,0,1
2011-05-11,58.76,56.88,53.57,1,0,1
2011-05-12,59.11,56.92,53.64,1,0,1
2011-05-13,58.41,56.96,53.71,1,0,1
2011-05-16,57.4,56.99,53.78,1,0,1
2011-05-17,57.56,57.01,53.84,1,0,1
2011-05-18,58.04,57.05,53.91,1,0,1
2011-05-19,58.21,57.08,53.98,1,0,1
2011-05-20,57.77,57.11,54.05,1,0,1
2011-05-23,56.92,57.13,54.11,0,0,1
2011-05-24,56.57,57.15,54.17,0,0,1
2011-05-25,56.79,57.18,54.24,0,0,1
2011-05-26,57.14,57.19,54.31,0,0,1
2011-05-27,57.43,57.22,54.38,1,0,1
2011-05-31,58.36,57.24,54.46,1,0,1
2011-06-01,57.09,57.25,54.53,0,0,1
2011-06-02,57.21,57.27,54.6,0,0,1
2011-06-03,56.35,57.27,54.66,0,0,1
2011-06-06,55.89,57.27,54.72,0,0,1
2011-06-07,55.79,57.26,54.77,0,0,1
2011-06-08,55.39,57.25,54.82,0,0,1
2011-06-09,55.49,57.23,54.87,0,0,1
2011-06-10,54.64,57.21,54.91,0,1,0
2011-06-13,54.64,57.19,54.96,0,1,0
2011-06-14,55.34,57.18,55.0,0,0,0
2011-06-15,54.29,57.17,55.03,0,1,0
2011-06-16,54.08,57.14,55.07,0,1,0
2011-06-17,53.79,57.12,55.1,0,1,0
2011-06-20,54.07,57.09,55.13,0,1,0
2011-06-21,55.23,57.07,55.16,0,0,0
2011-06-22,54.83,57.06,55.2,0,1,0
2011-06-23,55.34,57.05,55.23,0,0,0
2011-06-24,54.38,57.03,55.26,0,1,0
2011-06-27,55.25,57.01,55.29,0,1,0
2011-06-28,56.07,57.0,55.33,0,0,0
2011-06-29,56.3,56.99,55.36,0,0,0
2011-06-30,57.05,56.98,55.4,1,0,1
2011-07-01,57.91,56.98,55.45,1,0,1
2011-07-05,58.2,56.98,55.5,1,0,1
2011-07-06,58.39,56.99,55.55,1,0,1
2011-07-07,59.19,57.0,55.6,1,0,1
2011-07-08,59.03,57.0,55.65,1,0,1
2011-07-11,57.96,56.99,55.7,1,0,1
2011-07-12,57.52,56.98,55.74,1,0,1
2011-07-13,57.76,56.97,55.78,1,0,1
2011-07-14,57.09,56.95,55.82,1,0,1
2011-07-15,57.85,56.96,55.85,1,0,1
2011-07-18,57.54,56.97,55.89,1,0,1
2011-07-19,58.85,56.99,55.93,1,0,1
2011-07-20,58.6,57.0,55.97,1,0,1
2011-07-21,58.99,57.01,56.01,1,0,1
2011-07-22,59.6,57.04,56.06,1,0,1
2011-07-25,59.48,57.06,56.1,1,0,1
2011-07-26,59.63,57.08,56.14,1,0,1
2011-07-27,58.09,57.08,56.17,1,0,1
2011-07-28,58.19,57.09,56.21,1,0,1
2011-07-29,58.0,57.09,56.24,1,0,1
2011-08-01,57.73,57.1,56.27,1,0,1
2011-08-02,56.27,57.1,56.29,0,1,0
2011-08-03,56.81,57.11,56.31,0,0,0
2011-08-04,54.17,57.08,56.32,0,1,0
2011-08-05,53.83,57.07,56.32,0,1,0
2011-08-08,50.59,57.03,56.31,0,1,0
2011-08-09,53.03,57.02,56.3,0,1,0
2011-08-10,50.86,56.98,56.29,0,1,0
2011-08-11,53.1,56.96,56.29,0,1,0
2011-08-12,53.57,56.94,56.29,0,1,0
2011-08-15,54.36,56.92,56.29,0,1,0
2011-08-16,53.9,56.9,56.3,0,1,0
2011-08-17,53.58,56.86,56.3,0,1,0
2011-08-18,50.95,56.81,56.3,0,1,0
2011-08-19,50.03,56.74,56.29,0,1,0
2011-08-22,50.21,56.67,56.28,0,1,0
2011-08-23,52.28,56.61,56.28,0,1,0
2011-08-24,52.69,56.57,56.28,0,1,0
2011-08-25,51.83,56.51,56.28,0,1,0
2011-08-26,53.13,56.47,56.28,0,1,0
2011-08-29,54.61,56.45,56.29,0,1,0
2011-08-30,54.97,56.42,56.3,0,1,0
2011-08-31,55.06,56.4,56.32,0,1,0
2011-09-01,54.56,56.38,56.32,0,1,0
2011-09-02,53.28,56.35,56.32,0,1,0
2011-09-06,53.29,56.32,56.32,0,1,0
2011-09-07,54.64,56.3,56.32,0,1,0
2011-09-08,54.39,56.27,56.32,0,1,0
2011-09-09,53.18,56.24,56.32,0,1,0
2011-09-12,53.86,56.21,56.32,0,1,0
2011-09-13,54.58,56.18,56.32,0,1,0
2011-09-14,55.36,56.15,56.32,0,1,0
2011-09-15,56.18,56.13,56.33,0,1,0
2011-09-16,56.59,56.11,56.35,1,0,1
2011-09-19,56.61,56.08,56.36,1,0,1
2011-09-20,56.36,56.05,56.37,0,1,0
2011-09-21,55.38,56.02,56.37,0,1,0
2011-09-22,53.58,55.96,56.36,0,1,0
2011-09-23,54.15,55.92,56.36,0,1,0
2011-09-26,54.78,55.88,56.36,0,1,0
2011-09-27,55.35,55.85,56.36,0,1,0
2011-09-28,54.53,55.81,56.36,0,1,0
2011-09-29,53.88,55.76,56.36,0,1,0
2011-09-30,52.49,55.69,56.35,0,1,0
2011-10-03,51.14,55.62,56.33,0,1,0
2011-10-04,52.19,55.55,56.31,0,1,0
2011-10-05,53.53,55.5,56.3,0,1,0
2011-10-06,54.43,55.47,56.3,0,1,0
2011-10-07,54.07,55.44,56.29,0,1,0
2011-10-10,55.94,55.41,56.29,0,1,0
2011-10-11,56.32,55.4,56.29,1,0,1
2011-10-12,56.6,55.38,56.29,1,0,1
2011-10-13,57.12,55.39,56.29,1,0,1
2011-10-14,58.18,55.4,56.3,1,0,1
2011-10-17,57.28,55.41,56.3,1,0,1
2011-10-18,57.99,55.42,56.31,1,0,1
2011-10-19,56.87,55.41,56.31,1,0,1
2011-10-20,56.59,55.39,56.31,1,0,1
2011-10-21,57.3,55.39,56.32,1,0,1
2011-10-24,58.49,55.41,56.33,1,0,1
2011-10-25,57.34,55.42,56.34,1,0,1
2011-10-26,57.27,55.43,56.34,1,0,1
2011-10-27,58.85,55.46,56.35,1,0,1
2011-10-28,58.94,55.5,56.36,1,0,1
2011-10-31,57.95,55.52,56.37,1,0,1
2011-11-01,56.44,55.54,56.37,1,0,1
2011-11-02,56.92,55.56,56.37,1,0,1
2011-11-03,58.1,55.59,56.38,1,0,1
2011-11-04,57.8,55.62,56.38,1,0,1
2011-11-07,58.21,55.67,56.38,1,0,1
2011-11-08,58.88,55.72,56.39,1,0,1
2011-11-09,56.81,55.74,56.38,1,0,1
2011-11-10,56.78,55.76,56.37,1,0,1
2011-11-11,57.85,55.79,56.37,1,0,1
2011-11-14,57.49,55.81,56.37,1,0,1
2011-11-15,58.13,55.85,56.36,1,0,1
2011-11-16,57.17,55.87,56.35,1,0,1
2011-11-17,55.83,55.87,56.34,0,1,0
2011-11-18,55.4,55.86,56.32,0,1,0
2011-11-21,54.34,55.83,56.31,0,1,0
2011-11-22,54.52,55.8,56.3,0,1,0
2011-11-23,53.29,55.75,56.28,0,1,0
2011-11-25,52.88,55.69,56.25,0,1,0
2011-11-28,54.72,55.65,56.24,0,1,0
2011-11-29,54.38,55.6,56.22,0,1,0
2011-11-30,56.39,55.58,56.22,1,0,1
2011-12-01,56.78,55.58,56.21,1,0,1
2011-12-02,56.62,55.57,56.2,1,0,1
2011-12-05,57.24,55.57,56.2,1,0,1
2011-12-06,57.08,55.56,56.2,1,0,1
2011-12-07,57.08,55.56,56.2,1,0,1
2011-12-08,56.12,55.53,56.2,0,1,0
2011-12-09,57.02,55.51,56.21,1,0,1
2011-12-12,56.38,55.49,56.21,1,0,1
2011-12-13,55.76,55.45,56.21,0,1,0
2011-12-14,54.89,55.4,56.21,0,1,0
2011-12-15,54.74,55.35,56.21,0,1,0
2011-12-16,54.86,55.32,56.21,0,1,0
2011-12-19,54.32,55.28,56.21,0,1,0
2011-12-20,55.93,55.26,56.21,0,1,0
2011-12-21,55.13,55.24,56.21,0,1,0
2011-12-22,55.6,55.23,56.2,0,1,0
2011-12-23,56.08,55.22,56.2,0,1,0
2011-12-27,56.24,55.24,56.2,1,0,1
2011-12-28,55.59,55.26,56.19,0,1,0
2011-12-29,55.99,55.31,56.18,0,1,0
2011-12-30,55.83,55.34,56.17,0,1,0
2012-01-03,56.9,55.4,56.17,1,0,1
2012-01-04,57.14,55.44,56.17,1,0,1
2012-01-05,57.61,55.48,56.17,1,0,1
2012-01-06,57.81,55.52,56.17,1,0,1
2012-01-09,57.62,55.55,56.18,1,0,1
2012-01-10,58.04,55.6,56.18,1,0,1
2012-01-11,58.16,55.67,56.19,1,0,1
2012-01-12,58.39,55.75,56.2,1,0,1
2012-01-13,58.18,55.83,56.21,1,0,1
2012-01-17,58.71,55.9,56.22,1,0,1
2012-01-18,59.49,55.97,56.23,1,0,1
2012-01-19,59.86,56.05,56.25,1,0,1
2012-01-20,59.77,56.11,56.27,1,0,1
2012-01-23,59.79,56.17,56.28,1,0,1
2012-01-24,59.68,56.21,56.29,1,0,1
2012-01-25,60.43,56.27,56.3,1,0,1
2012-01-26,60.22,56.32,56.3,1,0,1
2012-01-27,60.4,56.39,56.31,1,0,1
2012-01-30,60.45,56.47,56.32,1,0,1
2012-01-31,60.53,56.52,56.32,1,0,1
2012-02-01,61.02,56.59,56.33,1,0,1
2012-02-02,61.21,56.67,56.35,1,0,1
2012-02-03,62.05,56.75,56.37,1,0,1
2012-02-06,62.0,56.83,56.39,1,0,1
2012-02-07,62.13,56.89,56.4,1,0,1
2012-02-08,62.46,56.96,56.42,1,0,1
2012-02-09,62.91,57.02,56.44,1,0,1
2012-02-10,62.47,57.08,56.46,1,0,1
2012-02-13,63.05,57.15,56.48,1,0,1
2012-02-14,63.21,57.22,56.51,1,0,1
2012-02-15,62.77,57.32,56.54,1,0,1
2012-02-16,63.63,57.41,56.57,1,0,1
2012-02-17,63.43,57.5,56.6,1,0,1
2012-02-21,63.61,57.58,56.63,1,0,1
2012-02-22,63.32,57.67,56.66,1,0,1
2012-02-23,63.74,57.77,56.69,1,0,1
2012-02-24,63.96,57.88,56.73,1,0,1
2012-02-27,64.05,58.01,56.77,1,0,1
2012-02-28,64.7,58.14,56.81,1,0,1
2012-02-29,64.41,58.24,56.85,1,0,1
2012-03-01,64.92,58.35,56.88,1,0,1
2012-03-02,64.87,58.46,56.92,1,0,1
2012-03-05,64.2,58.54,56.96,1,0,1
2012-03-06,63.57,58.61,57.0,1,0,1
2012-03-07,64.06,58.69,57.04,1,0,1
2012-03-08,64.75,58.76,57.09,1,0,1
2012-03-09,65.02,58.83,57.14,1,0,1
2012-03-12,65.05,58.91,57.19,1,0,1
2012-03-13,66.26,58.99,57.25,1,0,1
2012-03-14,66.49,59.09,57.31,1,0,1
2012-03-15,66.68,59.19,57.37,1,0,1
2012-03-16,66.52,59.28,57.43,1,0,1
2012-03-19,66.99,59.37,57.5,1,0,1
2012-03-20,67.11,59.46,57.57,1,0,1
2012-03-21,67.12,59.56,57.64,1,0,1
2012-03-22,66.98,59.64,57.7,1,0,1
2012-03-23,66.94,59.72,57.77,1,0,1
